en,pt_br
faces,rostos
becomes,torna-se
closes,fecha
badly,seriamente
tall,alto
confused,confuso
affair,assunto
television,televisão
shock,choque
raised,criado
panting,ofegante
pizza,pizza
image,imagem
clears,limpa
golden,dourado
patients,pacientes
watched,assistido
committed,empenhado
sexual,sexual
suffer,sofrer
arthur,artur
wherever,onde quer que
plate,placa
appear,aparecer
chocolate,chocolate
clever,esperto
hm,hum
mercy,misericórdia
shots,tiros
lucy,Lúcia
dealing,tratativa
trap,armadilha
charges,encargos
phil,phil
bang,estrondo
poison,tóxico
butt,bunda
drove,dirigiu
yourselves,vocês mesmos
headed,cabeça
babies,bebês
yellow,amarelo
soup,sopa
mystery,mistério
picking,escolhendo
sat,sentado
wound,ferimento
traffic,tráfego
courage,coragem
hunt,caçar
indian,indiano
rat,rato
terms,termos
italian,italiano
emma,Emma
checking,verificando
disease,doença
managed,gerenciou
winner,ganhador
council,conselho
appointment,encontro
monday,segunda-feira
crack,rachadura
threat,ameaça
jenny,Jenny
physical,físico
nation,nação
source,fonte
chose,escolheu
healthy,saudável
carl,Carl
victory,vitória
rick,Rick
stood,permaneceu
kicked,chutado
annie,Annie
disgusting,nojento
palace,palácio
below,abaixo
shopping,compras
neighborhood,vizinhança
march,marchar
lips,lábios
midnight,meia-noite
piss,mijo
advantage,vantagem
pure,puro
india,Índia
aside,aparte
jerk,idiota
mail,correspondência
dawn,alvorecer
effect,efeito
spell,soletrar
freak,doido
wood,madeira
screwed,ferrado
enemies,inimigos
gary,Gary
awake,acordado
vacation,férias
violence,violência
leo,leão
grandmother,avó
modern,moderno
luke,Lucas
firm,empresa
prime,melhor
heh,hehe
touched,tocado
talent,talento
whore,prostituta
piano,piano
license,licença
cooking,culinária
honour,honra
concern,preocupação
moves,movimentos
available,disponível
factory,fábrica
gods,deuses
value,valor
central,central
union,união
mirror,espelho
studio,estúdio
media,mídia
taxi,Táxi
dies,morre
iron,ferro
hearts,corações
desire,desejo
rob,roubar
claire,Clara
fred,Fred
songs,canções
washington,Washington
monkey,macaco
pride,orgulho
pills,pílulas
miracle,milagre
swim,nadar
burned,queimado
smells,cheiros
joking,brincando
bleeding,sangramento
hook,gancho
beating,batendo
protection,proteção
treatment,tratamento
ear,orelha
carter,carter
metal,metal
disappear,desaparecer
grateful,grato
extremely,extremamente
treasure,tesouro
rescue,resgatar
capable,capaz
passing,passagem
chatter,tagarelice
result,resultado
suffering,Sofrimento
sisters,irmãs
laid,disposto
governor,governador
guards,guardas
text,texto
literally,literalmente
remove,remover
becoming,tornando-se
performance,desempenho
stronger,mais forte
rate,avaliar
deeply,profundamente
scream,gritar
desert,deserto
vehicle,veículo
illegal,ilegal
pulling,puxando
throwing,jogando
josh,Josh
unbelievable,inacreditável
ted,Ted
zero,zero
dean,decano
curious,curioso
sean,Sean
candy,doce
bone,osso
tied,ligado
edge,borda
load,carregar
susan,susana
ahh,ahh
mountains,montanhas
boom,estrondo
former,antigo
holiday,feriado
riding,cavalgando
scoffs,zomba
hundreds,centenas
motherfucker,filho da puta
sue,processar
bags,bolsas
stealing,roubo
appears,aparece
arrive,chegar
remains,restos
decent,decente
issues,problemas
tip,dica
fail,falhar
bride,noiva
pissed,chateado
penny,centavo
claim,alegar
friendship,amizade
desperate,desesperado
flower,flor
dramatic,dramático
refuse,recusar
solve,resolver
theme,tema
loving,amoroso
properly,apropriadamente
dragon,dragão
mostly,majoritariamente
chuck,mandril
directly,diretamente
surface,superfície
false,falso
cast,elenco
junior,júnior
hunting,caça
silent,silencioso
thou,porém
egg,ovo
germany,Alemanha
punch,soco
africa,África
woke,acordou
intelligence,inteligência
borrow,emprestar
winning,ganhando
falls,quedas
popular,popular
escaped,escapou
witch,bruxa
convinced,convencido
warn,avisar
announcer,locutor
champagne,champanhe
dust,pó
kyle,Kyle
someday,algum dia
fallen,caído
stranger,estranho
presence,presença
tear,rasgar
st.,rua.
internet,Internet
monsieur,senhor
therefore,portanto
technology,tecnologia
tires,pneus
toast,brinde
wise,sábio
clark,Clark
americans,americanos
notes,notas
smoking,fumar
hank,Hank
april,abril
wolf,lobo
precious,precioso
rooms,quartos
coast,costa
treated,tratado
material,material
released,lançado
uniform,uniforme
hated,odiado
considered,considerado
rice,arroz
exchange,intercâmbio
steps,passos
blake,Blake
convince,convencer
beast,besta
cow,vaca
files,arquivos
signs,sinais
drag,arrastar
cab,táxi
hung,pendurado
carried,carregou
ordinary,ordinário
successful,bem-sucedido
eve,véspera
mistakes,erros
houses,casas
chattering,tagarelando
brains,cérebros
japan,Japão
creature,criatura
fourth,quarto
separate,separar
cleaning,limpeza
california,Califórnia
shift,mudança
elizabeth,Elizabeth
chicago,Chicago
exact,exato
karen,Karen
goal,meta
expert,especialista
served,servido
direct,direto
score,pontuação
row,linha
marks,marcas
twenty,vinte
receive,receber
series,série
section,seção
pilot,piloto
jackson,Jackson
darkness,escuridão
thy,teus
sale,oferta
destiny,destino
cure,cura
spoken,falado
armed,armado
rare,cru
helen,Helena
grade,nota
juice,suco
wide,largo
tower,torre
solution,solução
schedule,agendar
explosion,explosão
wheel,roda
cigarette,cigarro
julie,Júlia
fruit,fruta
blew,soprou
victor,vencedor
talks,conversas
sacrifice,sacrifício
range,faixa
button,botão
reports,relatórios
prisoner,prisioneiro
pie,torta
effort,esforço
youth,juventude
pot,pote
eaten,comido
taylor,Taylor
knees,joelhos
garage,garagem
parking,estacionamento
ambulance,ambulância
staring,olhando fixamente
chances,chances
circumstances,circunstâncias
sin,pecado
gordon,Gordon
progress,progresso
unusual,incomum
county,condado
stairs,escadaria
campaign,campanha
mon,seg
vision,visão
reporter,repórter
equipment,equipamento
moments,momentos
joey,Joey
mass,massa
alien,estrangeiro
trapped,encurralado
helps,ajuda
route,rota
defend,defender
trace,traço
nasty,nojento
tests,testes
magazine,revista
rocks,rochas
dump,jogar fora
rude,rude
searching,procurando
clue,dica
connected,conectado
amen,Amém
pushed,empurrou
merry,alegre
zone,zona
senior,sênior
closing,fechamento
freeze,congelar
emperor,imperador
incident,incidente
snake,cobra
mexico,México
lily,lírio
actor,ator
newspaper,jornal
sentence,frase
greg,Greg
leading,principal
friendly,amigável
jones,Jones
chosen,escolhido
engaged,noivo
julia,Júlia
charming,encantador
mustn,deve
anger,raiva
spending,gastos
learning,aprendizado
spy,espião
sharp,afiado
shadow,sombra
warrant,mandado
elevator,elevador
kingdom,reino
ricky,Ricky
jamie,Jamie
squad,esquadrão
shoulder,ombro
wave,aceno
amanda,Amanda
highness,alteza
kinds,tipos
fishing,pesca
sometime,às vezes
attitude,atitude
sucks,é uma merda
negative,negativo
screen,tela
workers,trabalhadores
bored,entediado
cameras,câmeras
similar,semelhante
understanding,entendimento
beeps,bipes
chain,corrente
bull,touro
gasping,ofegante
fully,completamente
robin,tordo
gorgeous,maravilhoso
morgan,Morgan
passion,paixão
writer,escritor
empire,império
international,internacional
curse,xingamento
hire,contratar
bastards,bastardos
puts,coloca
leads,pistas
id,eu ia
blows,golpes
sons,filhos
estate,propriedade
customers,clientes
maggie,Maggie
gunshot,tiro
device,dispositivo
troops,tropas
hug,abraço
design,projeto
movement,movimento
thunder,trovão
object,objeto
loser,perdedor
pen,caneta
sobbing,soluçando
politics,política
despite,apesar de
alcohol,álcool
climb,escalar
clients,clientes
conference,conferência
provide,fornecer
marty,mártir
seek,procurar
witnesses,testemunhas
earn,ganhar
trash,lixo
valley,vale
fashion,moda
howard,Howard
episode,episódio
prize,prêmio
previously,anteriormente
sports,esportes
wanting,querendo
wishes,desejos
hitler,Hitler
wire,arame
thee,te
circle,círculo
approach,abordagem
stock,estoque
facts,fatos
remembered,lembrado
percent,por cento
normally,normalmente
tail,cauda
joined,ingressou
education,educação
bravo,bravo
library,biblioteca
rape,estupro
wings,asas
growling,rosnando
thrown,jogado
tank,tanque
exhales,exala
authority,autoridade
current,atual
failure,falha
nightmare,pesadelo
hitting,batendo
glory,glória
knocked,bateu
studying,estudo
barry,Barry
agency,agência
apple,maçã
border,fronteira
rope,corda
duck,pato
reputation,reputação
confidence,confiança
yard,quintal
beloved,amado
lack,falta
actual,real
skills,habilidades
films,filmes
mental,mental
salt,sal
flesh,carne
anne,Ana
secure,seguro
highly,altamente
federal,federal
sand,areia
emotional,emocional
setting,contexto
services,serviços
robbery,roubo
hates,odeia
fed,alimentado
reward,recompensa
theater,teatro
johnson,johnson
commit,comprometer-se
patrick,patrick
entirely,inteiramente
extraordinary,extraordinário
ships,navios
opposite,oposto
parties,festas
stands,fica
terry,Terry
chat,bater papo
events,eventos
bay,baía
slip,escorregar
disappointed,decepcionado
settled,assentou
begins,começa
andrew,André
alert,alerta
detail,detalhe
pink,rosa
fellas,rapazes
accepted,aceito
background,fundo
garbage,lixo
panic,pânico
minds,mentes
belt,cinto
blowing,sopro
hollywood,Hollywood
agreement,acordo
jackie,Jackie
pushing,empurrando
ability,habilidade
tiger,tigre
whispering,sussurrando
culture,cultura
saint,santo
jesse,Jesse
task,tarefa
solid,sólido
doll,boneca
intend,pretende
district,distrito
pa,pai
gee,nossa
custody,custódia
ignore,ignorar
naturally,naturalmente
useful,útil
attempt,tentar
abandoned,abandonado
cutting,corte
kissed,beijado
guarantee,garantia
barking,latindo
gather,juntar
policy,política
u.s.,Estados Unidos
violent,violento
maid,empregada doméstica
embarrassing,embaraçoso
childhood,infância
wasting,desperdiçando
bow,arco
chick,pintinho
sara,Sara
disaster,desastre
revolution,revolução
online,on-line
demon,demônio
heavily,pesadamente
coincidence,coincidência
perform,executar
thin,afinar
terrific,maravilhoso
mac,Mac
crown,coroa
identity,identidade
virgin,virgem
impressive,impressionante
windows,Windows
no-one,ninguém
potential,potencial
guitar,guitarra
committee,comitê
dozen,dúzia
delivery,entrega
advance,avançar
quietly,silenciosamente
stan,stan
teaching,ensino
hunter,caçador
latest,mais recente
hurting,machucando
swing,balanço
capital,capital
counting,contando
drew,atraiu
dirt,sujeira
whistle,assobiar
marie,Maria
hits,sucessos
doug,Doug
deny,negar
urgent,urgente
threatened,ameaçado
behavior,comportamento
molly,molly
mixed,misturado
stays,permanece
assure,assegurar
subtitles,legendas
explanation,explicação
wins,vitórias
unique,exclusivo
chasing,perseguindo
billion,bilhões
duke,duque
production,produção
slave,escravo
agents,agentes
lets,vamos
cruel,cruel
mask,máscara
behave,comportar-se
bury,enterrar
massive,enorme
pathetic,patético
species,espécies
approaching,aproximando-se
jo,Jo
loan,empréstimo
struggle,luta
dish,prato
trusted,confiável
jumped,pulou
firing,disparando
channel,canal
abby,Abby
stopping,parando
asks,pergunta
jean,jeans
swimming,natação
daily,diário
basement,porão
linda,Linda
quarter,trimestre
erm,erm
bound,vinculado
navy,marinha
article,artigo
guide,guia
accused,acusado
transfer,transferir
guts,estômago
quality,qualidade
fella,cara
roman,romano
greater,maior
damned,condenado
couch,sofá
cheer,alegrar
shoe,sapato
title,título
shy,tímido
punishment,punição
los,os
clicks,cliques
you,você
closet,armário
bye-bye,Bye Bye
fever,febre
coward,covarde
flash,clarão
impressed,impressionado
bruce,bruce
siren,sirene
prisoners,prisioneiros
sides,lados
bowl,tigela
katie,Katie
supply,fornecer
sensitive,confidencial
hopefully,esperançosamente
rolling,rolando
roy,rei
dollar,dólar
tone,tom
voices,vozes
cheating,trapaceando
confess,confessar
demand,demanda
museum,museu
unknown,desconhecido
drama,drama
suspicious,suspeito
adult,adulto
todd,Todd
frightened,com medo
warned,avisado
steady,estável
kills,mata
crossed,cruzado
particularly,particularmente
sandwich,sanduíche
laws,leis
joint,articulação
bullets,balas
package,pacote
trained,treinado
thursday,quinta-feira
boots,botas
possibility,possibilidade
albert,Alberto
civil,civil
june,junho
germans,alemães
baseball,beisebol
express,expressar
miserable,miserável
tuesday,terça-feira
parker,Parker
lion,leão
joseph,José
refused,recusou
shine,brilhar
assault,assalto
hong,Hong Kong
jokes,piadas
breaks,pausas
argue,discutir
you-,você-
trail,trilha
option,opção
recall,lembrar
mighty,poderoso
collection,coleção
oliver,Oliver
wilson,Wilson
accent,sotaque
believes,acredita
decisions,decisões
embarrassed,envergonhado
mobile,móvel
customer,cliente
terribly,terrivelmente
sec,seg
charity,caridade
considering,considerando
pussy,bichano
donna,dona
flag,bandeira
kidnapped,sequestrado
italy,Itália
balance,equilíbrio
creatures,criaturas
nuclear,nuclear
wallet,carteira
shout,gritar
vincent,Vicente
entered,entrou
impression,impressão
angela,Ângela
jay,gaio
degrees,graus
favour,favor
reaction,reação
network,rede
jessica,Jéssica
version,versão
concert,concerto
gear,engrenagem
singer,cantor
diamond,diamante
defeat,derrota
steven,Steven
lane,faixa
blast,explosão
wounded,ferido
anytime,a qualquer momento
partners,parceiros
ages,idades
charlotte,Charlotte
ceremony,cerimônia
league,liga
bars,barras
orange,laranja
specific,específico
conditions,condições
plastic,plástico
crisis,crise
fifth,quinto
term,prazo
self,auto
offering,oferta
bud,broto
suffered,sofreu
reported,relatado
commissioner,comissário
rip,rasgar
mysterious,misterioso
entrance,Entrada
messed,bagunçado
tunnel,túnel
designed,projetado
neighbor,vizinho
aboard,a bordo
sweat,suor
justin,Justino
ghosts,fantasmas
crimes,crimes
costs,custos
deserves,merece
dreaming,sonhando
bust,busto
el,o
teddy,ursinho de pelúcia
kong,kong
messages,mensagens
enjoying,aproveitando
afterwards,após
comfort,conforto
mason,pedreiro
surrender,render
gym,academia
kitty,gatinha
crush,crush
yup,sim
arranged,arranjado
suits,se adequa
pee,urina
stress,estresse
cave,caverna
wing,asa
jordan,Jordânia
arrange,arranjo
comrade,camarada
noble,nobre
tricks,truques
betty,Betty
launch,lançar
legend,lenda
mix,mistura
golf,golfe
imagination,imaginação
fox,raposa
kissing,beijando
butter,manteiga
tax,imposto
gross,bruto
texas,Texas
insist,insistir
marcus,Marcos
classic,clássico
skull,crânio
frankie,Frankie
shown,mostrado
bat,bastão
survived,sobreviveu
print,imprimir
champion,campeão
bills,contas
therapy,terapia
lifetime,vida
throughout,por todo
a.m.,manhã
nathan,Nathan
toward,na direção
sauce,molho
experiment,experimentar
margaret,margarida
describe,descrever
ross,Ross
grass,grama
attend,participar
homework,trabalho de casa
lewis,Lewis
betrayed,traído
servant,servo
cap,boné
tyler,Tyler
bible,Bíblia
practically,praticamente
catherine,Catarina
steel,aço
wipe,limpar
burns,queimaduras
j,eu
generation,geração
cabin,cabine
financial,financeiro
industry,indústria
bond,ligação
sheep,ovelha
scientists,cientistas
beaten,espancado
heck,diabos
deck,convés
fans,fãs
script,roteiro
brand,marca
degree,grau
painful,doloroso
coughing,tosse
religion,religião
cats,gatos
stephen,Estêvão
influence,influência
fuel,combustível
drawing,desenho
rabbit,coelho
exercise,exercício
attractive,atraente
touching,tocando
virus,vírus
realise,entender
torture,tortura
plain,simples
rebecca,Rebecca
recent,recente
barbara,Bárbara
footsteps,passos
sacred,sagrado
removed,removido
pretending,fingindo
wasted,desperdiçado
jewish,judaico
goodnight,boa noite
robot,robô
crystal,cristal
confirm,confirmar
lad,rapaz
mile,milha
division,divisão
scratch,arranhar
reminds,lembra
walks,caminhadas
ending,final
russia,Rússia
contest,contestar
distant,distante
dumped,jogado fora
motion,movimento
electricity,eletricidade
centre,centro
murders,assassinatos
tina,tina
jeremy,Jeremy
seal,selo
standard,padrão
ellen,Ellen
wore,vestiu
surrounded,cercado
struck,chocado
inform,informar
gentle,gentil
status,status
purse,bolsa
prints,impressões
players,jogadores
charged,cobrado
begging,implorando
delivered,entregue
kenny,Kenny
buck,cervo
nina,nina
construction,construção
confirmed,confirmado
confession,confissão
trigger,acionar
cells,células
frankly,francamente
ali,todos
exit,saída
response,resposta
cancel,cancelar
argument,argumento
principal,principal
lucas,Lucas
clinic,clínica
greetings,saudações
neighbors,vizinhos
vice,vício
toy,brinquedo
hannah,Ana
everyday,diariamente
generous,generoso
gain,ganho
idiots,idiotas
holly,azevinho
enjoyed,curtiu
jungle,selva
link,link
underground,subterrâneo
smiling,sorrindo
mistress,amante
teams,equipes
product,produto
beef,carne bovina
whispers,sussurros
religious,religioso
presents,presentes
identify,identificar
chip,lasca
chffffff,chffffff
surveillance,vigilância
carlos,Carlos
vampire,vampiro
routine,rotina
uses,usos
michelle,Michelle
underneath,debaixo de
systems,sistemas
temperature,temperatura
waves,ondas
tribe,tribo
brad,Brad
deputy,deputado
sophie,Sofia
headquarters,sede
equal,igual
phones,telefones
ken,ken
reckon,considerar
related,relacionado
incredibly,incrivelmente
chill,frio
spit,saliva
tracks,trilhas
oscar,Oscar
makeup,inventar
bug,erro
sounded,soou
spirits,espíritos
nerve,nervo
divorced,divorciado
stake,estaca
port,porta
doorbell,campainha
worries,preocupações
nephew,sobrinho
miller,moleiro
units,unidades
just-,apenas-
proceed,prosseguir
landing,pousar
traitor,traidor
outfit,roupa
chloe,Chloe
bail,fiança
fields,campos
patience,paciência
recording,gravação
foolish,tolice
loaded,carregado
tokyo,Tóquio
davis,Davis
costume,fantasia
wayne,Wayne
injured,ferido
somethin,alguma coisa
ian,iano
pet,bicho de estimação
cage,jaula
digging,escavação
spain,Espanha
seats,assentos
awkward,estranho
cleaned,limpo
pattern,padrão
filthy,imundo
visiting,visitando
jews,judeus
answering,respondendo
concentrate,concentrado
someplace,algum lugar
citizens,cidadãos
aim,mirar
nancy,Nancy
affairs,assuntos
sport,esporte
basic,básico
electric,elétrico
pleasant,prazeroso
cliff,penhasco
nail,unha
russell,Russell
environment,ambiente
western,ocidental
average,média
ease,facilidade
raped,estuprada
interrupt,interromper
judy,Judy
satisfied,satisfeito
beep,bipe
starving,morrendo de fome
documents,documentos
anniversary,aniversário
beth,Beth
election,eleição
warrior,guerreiro
forth,adiante
fetch,buscar
banks,bancos
placed,colocado
timing,tempo
stones,pedras
complex,complexo
frozen,congelado
replace,substituir
prayer,oração
skip,pular
angeles,anjos
guilt,culpa
tune,melodia
woo,cortejar
actions,ações
conscience,consciência
officially,oficialmente
martha,Marta
machines,máquinas
smaller,menor
determined,determinado
blown,soprado
hail,saudação
unhappy,infeliz
booth,cabine
pour,derramar
berlin,Berlim
cleared,limpo
packed,embalado
wrap,enrolar
behalf,em nome de
reasonable,razoável
trunk,porta-malas
homes,casas
festival,festival
tradition,tradição
cigarettes,cigarros
le,o
beside,ao lado
harvey,Harvey
motive,motivo
beings,seres
bishop,bispo
dealer,distribuidor
defendant,réu
backup,backup
wounds,ferimentos
ouch,ai
ann,Ana
nearby,próximo
drank,bebido
effects,efeitos
jonathan,Jonathan
dennis,Denis
benefit,beneficiar
adventure,aventura
territory,território
apology,desculpa
dylan,Dylan
unlike,diferente
owns,possui
boxes,caixas
thus,por isso
clay,argila
developed,desenvolvido
busted,pego
gray,cinza
goods,bens
favourite,favorito
salad,salada
loyal,leal
atmosphere,atmosfera
eva,Eva
freaking,porra
dropping,caindo
strangers,estranhos
mouse,rato
downtown,centro da cidade
francisco,Francisco
heroes,heróis
pit,poço
rotten,podre
paradise,paraíso
meantime,enquanto isso
jess,Jess
organization,organização
hills,colinas
exam,exame
cock,galo
fairy,fada
earl,conde
comment,comentário
activity,atividade
frame,quadro
knight,cavaleiro
testing,testes
habit,hábito
shelter,abrigo
flow,fluxo
jennifer,Jennifer
holes,buracos
prevent,evitar
anthony,Antônio
lend,emprestar
cooper,tanoeiro
figures,figuras
boston,boston
sample,amostra
strip,tira
landed,pousado
buzzing,zumbindo
monk,monge
slightly,um pouco
produce,produzir
annoying,chato
judgment,julgamento
laundry,lavanderia
ron,Ron
lousy,péssimo
souls,almas
existence,existência
belly,barriga
tries,tenta
foster,fomentar
returning,retornando
answered,respondido
ward,ala
plants,plantas
actress,atriz
chairman,presidente
individual,individual
hopes,esperanças
tattoo,tatuagem
fence,cerca
sink,afundar
punk,punk
confident,confiante
yay,yay
mistaken,enganado
limit,limite
bothering,incomodando
st,rua
uncomfortable,desconfortável
wednesday,quarta-feira
gifts,presentes
policeman,policial
precisely,precisamente
lawyers,advogados
greek,grego
merely,apenas
criminals,criminosos
underwear,roupa de baixo
hoped,esperava
earned,merecido
reveal,revelar
appeared,apareceu
derek,Derek
heavens,céus
personality,personalidade
batman,homem Morcego
virginia,Virgínia
wives,esposas
colour,cor
worker,trabalhador
pope,papa
instructions,instruções
intelligent,inteligente
worrying,preocupante
vince,Vicente
comin,chegando
cried,chorou
traveling,viajando
bells,sinos
impact,impacto
robbed,roubado
relief,alívio
host,hospedar
footage,imagens de vídeo
odds,chances
patrol,patrulha
circus,circo
mud,lama
captured,capturado
lessons,lições
occasion,ocasião
sets,conjuntos
pulse,pulso
ad,anúncio
invented,inventado
diamonds,diamantes
matthew,Mateus
auntie,tia
cloud,nuvem
francis,Francisco
angels,anjos
classes,aulas
mm-hm,mm-hm
signature,assinatura
complain,reclamar
blah,blá blá blá
monitor,monitor
options,opções
claims,reivindicações
flies,moscas
pat,tapinha
britain,Grã-Bretanha
hid,escondido
wailing,lamentando
listened,ouviu
countries,países
vic,vítima
yell,gritar
rats,ratos
wondered,perguntou-se
smooth,suave
resist,resistir
companies,empresas
fantasy,fantasia
passport,passaporte
pitch,tom
hammer,martelo
homicide,homicídio
casey,Casey
holds,segura
flew,voou
jacob,Jacó
noon,meio-dia
helicopter,helicóptero
dishes,pratos
spin,rodar
charm,charme
slap,tapa
apply,aplicar
fools,tolos
screeching,gritando
discover,descobrir
previous,anterior
kit,kit
authorities,autoridades
moaning,gemendo
photograph,fotografia
sales,vendas
fifty,cinqüenta
mickey,Mickey
beneath,abaixo
farewell,até a próxima
clouds,nuvens
slipped,escorregou
represent,representar
deaf,surdo
facing,de frente
offense,ofensa
citizen,cidadão
clown,palhaço
snap,foto
messing,bagunçando
hood,capuz
twelve,doze
interests,interesses
cheated,enganado
liz,Liz
informed,informado
humanity,humanidade
producer,produtor
technically,tecnicamente
accounts,contas
extreme,extremo
gettin,ficando
cia,cia
pays,paga
profile,perfil
oxygen,oxigênio
jeez,nossa
gene,gene
shed,cabana
minor,menor
ex,ex
theatre,teatro
scientific,científico
lovers,amantes
chaos,caos
rocket,foguete
math,matemática
stubborn,teimoso
august,agosto
oi,oi
chips,batatas fritas
intense,intenso
grey,cinza
talkin,falando
terrorist,terrorista
angle,ângulo
invitation,convite
gambling,jogatina
respond,responder
thirty,trinta
procedure,procedimento
absolute,absoluto
investigate,investigar
tragedy,tragédia
stable,estável
session,sessão
capture,capturar
marrying,casando
ripped,rasgado
attacks,ataques
stretch,esticar
bush,arbusto
dates,datas
unable,impossível
gates,portões
mars,Marte
artists,artistas
increase,aumentar
tastes,gostos
cared,se importava
bottles,garrafas
highest,mais alto
whirring,zumbindo
meanwhile,enquanto isso
nate,nate
grabbed,agarrou
pigs,porcos
chop,cortar
olivia,Olívia
shocked,chocado
reverend,reverendo
commercial,comercial
escort,escolta
engagement,noivado
corpse,cadáver
louise,Luísa
worthy,valioso
scale,escala
beats,batidas
williams,Williams
threatening,ameaçador
exists,existe
academy,academia
acts,atos
hop,saltar
judges,juízes
furniture,mobília
shared,compartilhado
ralph,Ralph
consequences,consequências
engineer,engenheiro
schools,escolas
softly,suavemente
bombs,bombas
caroline,Carolina
shark,tubarão
transport,transporte
population,população
succeed,ter sucesso
creepy,repugnante
sneak,esgueirar-se
studies,estudos
destruction,destruição
keith,Keith
protected,protegido
monsters,monstros
joining,juntando-se
punished,punido
lightning,raio
malcolm,Malcolm
shell,concha
fascinating,fascinante
chamber,câmara
ethan,Ethan
romance,romance
instance,exemplo
jumping,pulando
groups,grupos
exhausted,esgotado
testify,testemunhar
studied,estudado
walker,andador
pin,alfinete
imagined,imaginado
drill,furar
investigating,investigando
ye,vós
experienced,experiente
elena,Elena
necklace,colar
loyalty,lealdade
junk,porcaria
cole,couve
cries,chora
stanley,Stanley
rita,Rita
southern,sul
blocks,blocos
emotions,emoções
begun,começou
maya,maia
liver,fígado
serving,servindo
matches,partidas
surgeon,cirurgião
granted,garantido
jazz,jazz
july,julho
supplies,suprimentos
deeper,Deeper
typical,típico
kicking,chutando
obey,obedecer
dancer,dançarino
remote,remoto
daughters,filhas
moron,idiota
latin,latim
teachers,professores
toby,Toby
sandy,arenoso
dragged,arrastado
strategy,estratégia
parent,pai
jin,jin
album,álbum
compared,comparado
rubbish,bobagem
helpful,útil
powder,pó
sync,sincronizar
bum,vagabundo
passes,passes
joan,Joana
fort,forte
choices,escolhas
alley,aléia
supper,jantar
penis,pênis
alibi,álibi
sammy,Sammy
pole,pólo
coke,coque
scientist,cientista
fighter,lutador
highway,autoestrada
blade,lâmina
alpha,alfa
diet,dieta
liquor,licor
jet,jato
widow,viúva
liberty,liberdade
philip,Filipe
moral,moral
carrie,Carrie
grief,pesar
thirsty,sedento
ashley,Ashley
random,aleatório
suspects,suspeitos
intention,intenção
julian,juliano
tools,ferramentas
driven,conduzido
trauma,trauma
headache,dor de cabeça
safely,com segurança
alexander,Alexandre
knee,joelho
lads,rapazes
novel,romance
conversations,conversas
waters,águas
lookin,olhar dentro
invisible,invisível
internal,interno
peaceful,pacífico
humming,cantarolando
washed,lavado
drives,unidades
talented,talentoso
aid,ajuda
elephant,elefante
troubles,problemas
core,essencial
serial,serial
painted,pintado
the,o
divine,divino
jam,geléia
goat,cabra
opera,ópera
thieves,ladrões
guessing,adivinhação
objection,objeção
whiskey,uísque
florida,Flórida
resistance,resistência
dressing,vestir
attached,apegado
aaron,Aaron
brief,apresentação
punish,punir
eternal,eterno
lois,Lois
and,e
required,obrigatório
victoria,vitória
fabulous,fabuloso
twins,gêmeos
characters,personagens
cooked,cozido
ln,em
ruth,Rute
dreamed,sonhou
arts,artes
naughty,travesso
stabbed,esfaqueado
tend,tratar
diane,Diana
tap,tocar
soap,sabão
locker,armário
development,desenvolvimento
images,imagens
prick,idiota
global,global
string,corda
bitter,amargo
sharing,compartilhamento
corn,milho
craig,Craig
fits,se encaixa
tent,barraca
forms,formulários
votes,votos
harold,Haroldo
propose,propor
monica,Mônica
constantly,constantemente
granny,avó
nicely,bem
nerves,nervos
arguing,discutindo
abuse,abuso
relatives,parentes
survival,sobrevivência
gloves,luvas
tracking,monitorando
zoe,Zoé
u,você
bend,dobrar
review,análise
connect,conectar
separated,separados
elder,ancião
beard,barba
diana,Diana
salary,salário
disturb,perturbar
pro,pró
maintain,manter
solved,resolvido
wealth,fortuna
bitches,cadelas
possession,posse
sang,cantou
gimme,me dá
plates,pratos
shoulders,ombros
burnt,queimado
recorded,gravado
upper,superior
counts,contagens
tale,conto
profit,lucro
colleague,colega
warehouse,armazém
hostage,refém
shore,costa
porn,pornô
miami,Miami
fifteen,quinze
visitors,visitantes
net,líquido
insult,insulto
owen,Owen
cities,cidades
causing,causando
lemon,limão
heal,curar
banging,batendo
honeymoon,lua de mel
appeal,apelo
marshall,marechal
critical,crítico
creating,criando
scotland,Escócia
crane,guindaste
enormous,enorme
testimony,testemunho
praise,louvar
fights,lutas
indians,índios
commission,comissão
growls,rosna
nicole,Nicole
sins,pecados
fraud,fraude
branch,filial
happily,felizmente
bout,luta
covering,cobertura
occurred,ocorreu
beans,feijões
raw,cru
muscle,músculo
pages,páginas
tense,tenso
relationships,relacionamentos
assignment,atribuição
blonde,loiro
catching,pegando
exposed,expor
canada,Canadá
dont,não
han,mão
von,por
comedy,comédia
marco,marco
whistling,assobio
buildings,edifícios
shaking,tremendo
p.m.,da tarde
facility,instalação
appropriate,apropriado
remarkable,notável
transferred,transferido
drawn,retirou
tits,peitos
clicking,clicando
symbol,símbolo
motor,motor
employees,funcionários
ambassador,embaixador
mothers,mães
pile,pilha
feeding,alimentação
soda,refrigerante
checks,cheques
bears,ursos
cookies,biscoitos
slut,vagabunda
awfully,muito
stepped,pisou
toys,brinquedos
levels,níveis
differently,diferentemente
magnificent,magnífico
steak,bife
tube,tubo
leaders,líderes
superior,superior
herr,senhor
pan,frigideira
expression,expressão
currently,atualmente
